"Timestamp","Calculated Flow with Offset","Compressor #1 Desire Flow SP For PID Murphy","Compressor #2 Desire Flow SP For PID Murphy","Compressor Flow Max Deadband","Derived Run Status","Fault Indication","Flow Status Mode","Hour Meter","Run Status Comp #1","Run Status Comp #2","Total Number Of Compressors","Total Number Of Wellheads","Well #1 Analog Output 1","Well #2 Analog Output 2","Well #3 Analog Output 3","Well #4 Analog Output 4","Wellhead #1 Calculated Desired Flow","Wellhead #1 Choke Flow Priority #","Wellhead #1 Choke Oil Priority #","Wellhead #1 Flow Running Status Percent","Wellhead #1 In Manual/Auto","Wellhead #1 Injection Differential Prs From Customer PLC","Wellhead #1 Injection Flow Rate From Customer PLC","Wellhead #1 Injection Static Pressure From Customer PLC","Wellhead #1 Injection Temp From Customer PLC","Wellhead #1 Max Flow Rate","Wellhead #1 PID Flow Release","WellHead #1 Running Status","Wellhead #1 Setpoint From Customer PLC","Wellhead #1 Yesterdays Total Flow","Wellhead #2 Calculated Desired Flow","Wellhead #2 Choke Flow Priority #","Wellhead #2 Choke Oil Priority #","Wellhead #2 Flow Running Status Percent","Wellhead #2 In Manual/Auto","Wellhead #2 Injection Differential Prs From Customer PLC","Wellhead #2 Injection Flow Rate From Customer PLC","Wellhead #2 Injection Static Pressure From Customer PLC","Wellhead #2 Injection Temp From Customer PLC","Wellhead #2 Max Flow Rate","Wellhead #2 PID Flow Release","Wellhead #2 PID Min Output","WellHead #2 Running Status","Wellhead #2 Setpoint From Customer PLC","Wellhead #2 Yesterdays Total Flow","Wellhead #3 Calculated Desired Flow","Wellhead #3 Choke Flow Priority #","Wellhead #3 Choke Oil Priority #","Wellhead #3 Flow Running Status Percent","Wellhead #3 In Manual/Auto","Wellhead #3 Injection Differential Prs From Customer PLC","Wellhead #3 Injection Flow Rate From Customer PLC","Wellhead #3 Injection Static Pressure From Customer PLC","Wellhead #3 Injection Temp From Customer PLC","Wellhead #3 Max Flow Rate","Wellhead #3 PID Flow Release","WellHead #3 Running Status","Wellhead #3 Setpoint From Customer PLC","Wellhead #3 Yesterdays Total Flow","Wellhead #4 Calculated Desired Flow","Wellhead #4 Choke Flow Priority #","Wellhead #4 Choke Oil Priority #","Wellhead #4 Flow Running Status Percent","Wellhead #4 In Manual/Auto","Wellhead #4 Injection Differential Prs From Customer PLC","Wellhead #4 Injection Flow Rate From Customer PLC","Wellhead #4 Injection Static Pressure From Customer PLC","Wellhead #4 Injection Temp From Customer PLC","Wellhead #4 Max Flow Rate","Wellhead #4 PID Flow Release","Wellhead #4 PID Min Output","Wellhead #4 Setpoint From Customer PLC","Wellhead #4 Yesterdays Total Flow"
"4/12/2026 03:23:33 AM","3210","","","","","Panel Reset/Standby","","5355","Running","Running","","","67","64","72","73","0.810","","","","","45","0.812","810","144","","","Online","1.000","0.817","0.810","","","","","44","0.810","810","144","","","","Online","0.750","0.817","0.810","","","","","44","0.811","810","145","","","Online","0.800","0.817","0.820","","","","","46","0.819","810","146","","","","0.800","0.824"
"4/12/2026 03:08:33 AM","3190","","","","","Panel Reset/Standby","","5355","Running","Running","","","67","65","72","73","0.820","","","","","45","0.819","812","144","","","Online","1.000","0.817","0.820","","","","","45","0.816","812","143","","","","Online","0.750","0.817","0.820","","","","","43","0.797","812","144","","","Online","0.800","0.817","0.820","","","","","44","0.813","812","145","","","","0.800","0.824"
"4/12/2026 02:53:33 AM","3080","","","","","Panel Reset/Standby","","5354","Running","Running","","","67","65","72","69","0.825","","","","","45","0.814","808","142","","","Online","1.000","0.817","0.825","","","","","45","0.818","808","142","","","","Online","0.750","0.817","0.825","","","","","44","0.812","808","143","","","Online","0.800","0.817","0.705","","","","","30","0.673","808","143","","","","0.800","0.824"
"4/12/2026 02:38:33 AM","3090","","","","","Panel Reset/Standby","","5354","Running","Running","","","67","64","71","70","0.805","","","","","44","0.808","809","144","","","Online","1.000","0.817","0.805","","","","","44","0.809","809","143","","","","Online","0.750","0.817","0.805","","","","","44","0.808","809","144","","","Online","0.800","0.817","0.695","","","","","33","0.700","809","145","","","","0.800","0.824"
"4/12/2026 02:23:33 AM","3280","","","","","Panel Reset/Standby","","5354","Running","Running","","","66","64","72","73","0.815","","","","","45","0.822","827","145","","","Online","1.000","0.817","0.815","","","","","45","0.822","827","145","","","","Online","0.750","0.817","0.815","","","","","45","0.828","827","145","","","Online","0.800","0.817","0.815","","","","","46","0.839","827","148","","","","0.800","0.824"
"4/12/2026 02:08:33 AM","3217","","","","","Panel Reset/Standby","","5354","Running","Running","","","67","64","72","73","0.800","","","","","44","0.801","801","145","","","Online","1.000","0.817","0.800","","","","","44","0.801","801","144","","","","Online","0.750","0.817","0.800","","","","","44","0.797","801","145","","","Online","0.800","0.817","0.800","","","","","44","0.805","801","147","","","","0.800","0.824"
"4/12/2026 01:53:33 AM","3150","","","","","Panel Reset/Standby","","5353","Running","Running","","","67","65","72","73","0.825","","","","","46","0.818","804","144","","","Online","1.000","0.817","0.825","","","","","46","0.819","804","143","","","","Online","0.750","0.817","0.825","","","","","45","0.818","804","144","","","Online","0.800","0.817","0.785","","","","","43","0.797","804","145","","","","0.800","0.824"
"4/12/2026 01:38:33 AM","3220","","","","","Panel Reset/Standby","","5353","Running","Running","","","67","65","71","73","0.815","","","","","44","0.809","806","142","","","Online","1.000","0.817","0.815","","","","","43","0.802","806","141","","","","Online","0.750","0.817","0.815","","","","","45","0.817","806","142","","","Online","0.800","0.817","0.815","","","","","45","0.817","806","142","","","","0.800","0.824"
"4/12/2026 01:23:33 AM","3160","","","","","Panel Reset/Standby","","5353","Running","Running","","","67","65","72","72","0.825","","","","","45","0.818","807","142","","","Online","1.000","0.817","0.825","","","","","45","0.821","810","142","","","","Online","0.750","0.817","0.825","","","","","45","0.823","810","143","","","Online","0.800","0.817","0.785","","","","","39","0.765","810","144","","","","0.800","0.824"
"4/12/2026 01:08:33 AM","3090","","","","","Panel Reset/Standby","","5353","Running","Running","","","67","65","72","70","0.825","","","","","45","0.817","805","140","","","Online","1.000","0.817","0.825","","","","","46","0.823","805","140","","","","Online","0.750","0.817","0.825","","","","","48","0.842","804","140","","","Online","0.800","0.817","0.715","","","","","33","0.711","804","140","","","","0.800","0.824"
